OrgId,OrgName,Kind,ClendorClientId,DeltekName,Score
70593,1348773 BC Ltd,Developer,cd6f2b97f41c46628af085cb1e453520,1308773 BC Ltd.,0.9
63780,2BR Construction Inc,GC,CL00215,JBR Construction Ltd.,0.938
52393,4C ARCHITECTURE INC.,Architect,1eb46e6182054a008b12246b04607bb6,JC Architecture Inc,0.933
1502,A&R Construction,GC,CL00215,JBR Construction Ltd.,0.875
33063,ABT Construction Ltd,GC,A96D2444E42C41DB974C1E9CEB5FDAEF,Alto Construction,0.882
38959,ACDF Architecture,Architect,a211659b4fbc4013887802ad9246fb39,DF Architecture,0.882
66684,Ace Architecture Inc.,Architect,CL00074,CEI Architecture,0.875
69626,ACI Architects Inc.,Architect,8AD125221437485BBD9B90F70204D7C2,Amu Architects,0.857
69653,ADC Management LP,Buyer,CL00347,RDG Management Ltd.,0.857
54931,Aecon Group Inc.,GC,cb9c6a61623a4f709fcb6e7061cfd9b4,Apcon group,0.909
70594,AFC Construction,GC,126585F35BC54C97B40DDEEDFD881933,CDC Construction Ltd.,0.875
41742,AFW CONSTRUCTION LTD,GC,CL00218,JFO Construction Inc.,0.875
50140,AKIN CONSTRUCTION INC.,GC,474c38bd9cf54d5a8a68c38df6bcb9c9,Align Construction Ltd,0.889
70644,Alan Lowe Architect Inc.,Architect,CL00517,Alan Brown Architect,0.85
23795,Aldon Construction Ltd.,GC,474c38bd9cf54d5a8a68c38df6bcb9c9,Align Construction Ltd,0.889
23936,Aliia Developments Ltd,Developer,CL00013,Appia Developments Ltd.,0.889
41920,ALLAN CONSTRUCTION,GC,474c38bd9cf54d5a8a68c38df6bcb9c9,Align Construction Ltd,0.889
44569,ALLTERRA CONSTRUCTION LTD,GC,AF372D07CF4C4735AC7DAB31631F4AA3,Canterra Construction Ltd.,0.857
2218,Alps Construction Ltd.,GC,A96D2444E42C41DB974C1E9CEB5FDAEF,Alto Construction,0.882
51887,ALTI CONSTRUCTION LTD.,GC,A96D2444E42C41DB974C1E9CEB5FDAEF,Alto Construction,0.941
54631,Altos Properties Corporation,Developer,CL00008,Alston Properties Ltd.,0.882
28048,Ampco Construction Ltd,GC,CL00653,Amacon Construction Ltd.,0.895
2364,AMRON Construction,GC,CL00653,Amacon Construction Ltd.,0.895
46200,ANAN CONSTRUCTION,GC,CA0F1EB949014FBC9C89135B12271A45,Juan Construction Ltd.,0.882
68154,AND ARCHITECTURE INC.,Architect,CL00147,FNDA Architecture Inc.,0.882
2419,Ant Construction Ltd.,GC,A96D2444E42C41DB974C1E9CEB5FDAEF,Alto Construction,0.882
24409,APG Construction,GC,CL00068,Capo Construction Inc.,0.882
68970,AR Architecture,Architect,CL00465,Co.lab Architecture,0.875
68904,ARC Architects,Architect,8AD125221437485BBD9B90F70204D7C2,Amu Architects,0.857
2647,Artec Construction Ltd,GC,CL00530,Bartek Construction Ltd.,0.895
2747,Asty Construction Inc.,GC,A96D2444E42C41DB974C1E9CEB5FDAEF,Alto Construction,0.882
2751,ATB Architecture,Architect,CL00465,Co.lab Architecture,0.875
31335,Avc Construction LTD.,GC,126585F35BC54C97B40DDEEDFD881933,CDC Construction Ltd.,0.875
20415,Averra Developments Inc,Developer,CL00679,Canterra Developments Ltd.,0.857
2881,AVID ARCHITECTURE INC.,Architect,CL00430,VIA Architecture Inc.,0.882
50505,AVL Construction Group Inc,GC,CL00209,ITC Construction Group,0.864
22272,AVS Developments Ltd,Developer,6f521d70c8f3438eb36d2514b309ebe2,Dava Developments Ltd.,0.882
20929,Axium Development Ltd,Developer,F272BF133F0D47459EDD9B04BBC53D23,Aekum Development,0.882
48434,B & S Construction Ltd,GC,f854d6d9404a48fe9a2f42161fb6329e,Boas Construction,0.882
48276,B and S Construction,GC,0a90590b8fc64aaca4d97170a82a4ae9,Chandos Construction,0.85
29586,B2 Architecture,Architect,5AD40D65095A4BFB9FAA98D39DECFDED,M2 Architecture Inc.,0.933
2978,Balcon Construction,GC,d5b5d6a08c3841bfbe8b943f710a97b2,Goldcon Construction,0.85
29777,Baoly Construction Ltd.,GC,CL00045,Bold Construction,0.889
28147,Barmani Construction,GC,2698acb7e9074f63a9ddf332efab35dc,Martini Construction Ltd.,0.85
54558,Barnett Dembeck Architects,Architect,CL00453,Barnett Dembek Architects,0.962
41429,BARRA CONSTRUCTION LTD,GC,CL00267,Matra Construction Inc.,0.889
44803,BARTRAM CONSTRUCTION INC,GC,CL00530,Bartek Construction Ltd.,0.85
23998,Bata Developments Inc.,Developer,6f521d70c8f3438eb36d2514b309ebe2,Dava Developments Ltd.,0.882
37748,Bayon Contracting,GC,c8b03e011f1144938c921d6baeced2ba,Baydo Contracting Corporation,0.882
53379,BCM Developments Ltd.,Developer,CL00032,Beck Developments Inc.,0.882
65860,BCW ARCHITECTS,Architect,CL00452,B+H Architects,0.857
49946,BD CONSTRUCTION LTD.,GC,CL00533,Bird Construction,0.882
51059,BECC CONSTRUCTION GROUP LTD.,GC,CL00209,ITC Construction Group,0.87
44658,BEL-TECH CONSTRUCTION LTD,GC,B8DB0DB76D374A15A05AD52C4A472C4F,Reotech Construction Ltd.,0.857
52614,BEMA Construction,GC,C8238101B51E49B7BCDC046AEBC6C42E,Femo Construction Ltd.,0.882
28448,Benmark Construction,GC,a0d92200fd2745ec97f2216113860425,Westmark Construction,0.857
70015,Berry Architecture and Associates,Architect,500bbbf39b724d979b50f3eca443e445,Berry Architecture + Associates Ltd.,0.879
59383,BGHJ ARCHITECTS,Architect,CL00452,B+H Architects,0.867
69162,BIE Engineering Corp,Competitor,5D74922D8E154C98A15445E125E44728,Liew Engineering Ltd.,0.875
3324,Binnie & Associates Ltd.,Architect,7F5FC69AA92A4B81AF865A9C41CD9109,RF Binnie & Associates Ltd.,0.85
29482,Birmingham & Wood Architects and Planners,Architect,CL00456,Birmingham & Wood Architects & Planners,0.897
70599,BJK Architecture Inc.,Architect,e67d66d431ff4d048f38825f63014e2a,BHA Architecture Inc.,0.875
3508,Boald Construction,GC,CL00045,Bold Construction,0.944
49429,Bogdan's Construction Ltd.,GC,f854d6d9404a48fe9a2f42161fb6329e,Boas Construction,0.85
32155,Bogner Kerrisdale Development Inc.,Developer,CL00672,Bogner Kerrisdale Developments Inc.,0.967
28392,Bolar Development Group Ltd,Developer,CL00044,Bogner Development Group,0.875
21425,BONA DEVELOPMENT LTD,Developer,CL00047,Bosa Development Corp.,0.938
30543,Boniface Oleksiuk Politano Architects (BOP),Architect,8F14D9B8DFA94767AC9D6C361CFCF8EA,Boniface Oleksiuk Politano Architects,0.902
3550,Boom Construction Ltd.,GC,f854d6d9404a48fe9a2f42161fb6329e,Boas Construction,0.882
70902,Bosa Construction,GC,f854d6d9404a48fe9a2f42161fb6329e,Boas Construction,0.882
41477,BOURGON CONSTRUCTION,GC,25527906151E457AA55F513ADB47A6EA,Boston Construction Corp.,0.85
