EnrichmentId,CanonicalOrgId,ProviderName,ExtractorType,Persons,Affiliations,Signals,Actions,Works,Risks,Narratives,Inserted,Updated,Status,ErrorMessage
71318,12,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,1,3,Persisted,
71319,16,FirmNarrativeHoning,PersonListExtractor,4,4,0,0,0,0,0,2,6,Persisted,
71320,28,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
71321,32,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
71322,43,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
71323,49,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
71324,50,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
71325,60,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
71326,66,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
71327,89,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,1,3,Persisted,
71328,111,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
71329,123,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,0,Persisted,
71330,125,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
71331,142,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
71332,150,FirmNarrativeHoning,PersonListExtractor,2,2,1,0,0,0,0,1,4,Persisted,
71333,157,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
71334,161,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,0,Persisted,
71335,162,FirmNarrativeHoning,PersonListExtractor,1,1,1,0,0,0,0,0,3,Persisted,
71336,169,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
71337,189,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
71338,191,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
71339,193,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
71340,205,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
71341,207,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
71342,225,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72151,22257,FirmNarrativeHoning,PersonListExtractor,4,4,0,0,0,0,0,4,4,Persisted,
72152,115,FirmNarrativeHoning,PersonListExtractor,4,4,0,0,0,0,0,0,8,Persisted,
72153,179,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,3,1,Persisted,
72154,18,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,2,4,Persisted,
72155,180,FirmNarrativeHoning,PersonListExtractor,6,6,0,0,0,0,0,0,12,Persisted,
72156,181,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72157,182,FirmNarrativeHoning,PersonListExtractor,5,5,0,0,0,0,0,7,3,Persisted,
72158,200,FirmNarrativeHoning,PersonListExtractor,5,5,0,0,0,0,0,5,5,Persisted,
72159,201,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72160,202,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72161,203,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72162,204,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,0,6,Persisted,
72163,224,FirmNarrativeHoning,PersonListExtractor,5,5,0,0,0,0,0,6,4,Persisted,
72164,226,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72165,227,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72166,228,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72167,229,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72168,233,FirmNarrativeHoning,PersonListExtractor,5,5,0,0,0,0,0,6,4,Persisted,
72169,34,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,2,2,Persisted,
72170,39,FirmNarrativeHoning,PersonListExtractor,6,6,0,0,0,0,0,4,8,Persisted,
72171,53,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,2,2,Persisted,
72172,54,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72173,58,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72174,62,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,2,4,Persisted,
72175,88,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,2,4,Persisted,
72176,99,FirmNarrativeHoning,PersonListExtractor,3,3,1,0,0,0,0,0,7,Persisted,
72434,10,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72435,100,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72436,102,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72437,104,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,0,Persisted,
72438,105,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,0,6,Persisted,
72439,106,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72440,109,FirmNarrativeHoning,PersonListExtractor,1,1,1,0,0,0,0,0,3,Persisted,
72441,11,FirmNarrativeHoning,PersonListExtractor,4,4,0,0,0,0,0,3,5,Persisted,
72442,110,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72443,114,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,0,6,Persisted,
72444,116,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72445,117,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72446,118,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,0,Persisted,
72447,119,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72448,120,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72449,121,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72450,126,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72451,127,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72452,128,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72453,129,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72454,13,FirmNarrativeHoning,PersonListExtractor,4,4,0,0,0,0,0,4,4,Persisted,
72455,130,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72456,131,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72457,132,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72458,133,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,0,6,Persisted,
72459,134,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72460,135,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72461,136,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72462,137,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,0,Persisted,
72463,14,FirmNarrativeHoning,PersonListExtractor,4,4,0,0,0,0,0,2,6,Persisted,
72464,143,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72465,144,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,1,3,Persisted,
72466,147,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72467,148,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,0,Persisted,
72468,149,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,1,3,Persisted,
72469,15,FirmNarrativeHoning,PersonListExtractor,4,4,0,0,0,0,0,0,8,Persisted,
72470,152,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72471,154,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72472,159,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72473,163,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72474,164,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72475,165,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72476,166,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,0,6,Persisted,
72477,167,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72478,168,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,2,0,Persisted,
72479,170,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72480,177,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72481,183,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72482,184,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72483,186,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72484,188,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72485,19,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72486,195,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72487,197,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72488,198,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72489,199,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72490,2,FirmNarrativeHoning,PersonListExtractor,1,1,1,0,0,0,0,0,3,Persisted,
72491,209,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72492,21,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72493,211,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72494,213,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72495,214,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72496,215,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72497,216,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,0,6,Persisted,
72498,217,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72499,218,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72500,22,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,2,2,Persisted,
72501,220,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,0,6,Persisted,
72502,23,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,1,3,Persisted,
72503,230,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72504,231,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72505,232,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72506,25,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,1,3,Persisted,
72507,27,FirmNarrativeHoning,PersonListExtractor,4,4,0,0,0,0,0,0,8,Persisted,
72508,29,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,2,2,Persisted,
72509,3,FirmNarrativeHoning,PersonListExtractor,4,4,0,0,0,0,0,0,8,Persisted,
72510,30,FirmNarrativeHoning,PersonListExtractor,5,5,0,0,0,0,0,0,10,Persisted,
72511,33,FirmNarrativeHoning,PersonListExtractor,6,6,0,0,0,0,0,1,11,Persisted,
72512,35,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,0,Persisted,
72513,36,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72514,37,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,0,Persisted,
72515,38,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72516,40,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72517,41,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,1,3,Persisted,
72518,44,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,3,3,Persisted,
72519,45,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72520,46,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,2,0,Persisted,
