Id,Name,Buyer,Status,Reason
100,ET022-261291-B - Removal and Replacement of Fuel Storage Tank System – Batoche National Historic Site,Department of Public Works and Government Services (PSPC),New,fuel
109,Command & Control Experimentation (C2X) and Modernization Software Engineering Services for Future Naval Operations,U.S. Federal,New,software
159,NRFP 13052026-FV AVD CSP Subscription Migration and Managed Services,Vancouver Community College,New,software
164,Country Club Drive Boulevard Landscaping,Town of Qualicum Beach,New,landscaping
166,Doc5654576395 - (RFP) Accountability Report Writing and Design,TransLink(South Coast British Columbia Transportation Authority),New,graphic design
172,FM27DTR005 - Pineview Fuel Management Treatments,Ministry of Forests,New,fuel
180,Upfitting Services for VPD Light Duty Vehicles,City of Vancouver,New,vehicles
182,Rossland Storm Water Management Plan,City of Rossland,New,stormwater
189,Supply And Delivery of 20-Yard Refuse Collection Rear Loaders,City of Vancouver,New,waste collection
191,Notice of Intent ON-0002421 to Award Contract with HR Path Canada Inc,BC Financial Services Authority,New,software
196,Mobile Computer Aided Dispatch Agents for Fire Department Vehicles,Regional District of Mount Waddington,New,software
200,CBPC Website Redesign,College of Pharmacists of British Columbia,New,website
202,RFQ 26-099 Pavement Marking Services,Corporation of the District of Saanich,New,pavement
210,"TA2634, TCC, Norton Creek – 600 Road, Quesnel Field Team",BC Timber Sales Branch,New,road
211,Airport Water System Upgrade,City of Cranbrook,New,sewer
218,RFP #20260519 Human Resources Evaluation,Squamish Indian Band,New,software
225,eDOCS Content and Records Management Annual Maintenance Program Renewal,City of Coquitlam,New,software
227,Supply and Delivery of Fleet Tires and Related Services,City of Vancouver,New,supply and delivery
235,Legal Services,City of Mission,New,legal services
242,Annual Financial Audit Services,Village of Gold River,New,audit services
250,Microsoft Enterprise Agreement Renewal & Management RFP,First Nations Health Authority,New,software
252,Silver Star Wildfire Risk Reduction Fuel Management Operational Treatment,Management Services Division,New,fuel
256,"ITQ26-17TH Software and Support, VMWare",The Board of Education of School District No 39 (Vancouver),New,software
260,Pavement Marking Services,University of British Columbia,New,pavement
270,Tender Robb Ave - Anderton Road to Aitken Street Upgrade Project,Town of Comox,New,road
289,Metadata Management Solution,WorkSafeBC,New,software
316,Software Delivery Strategy,Insurance Corporation of British Columbia,New,software
319,Palo Alto Value-Added-Reseller (VAR),Insurance Corporation of British Columbia,New,software
320,Same-day Courier and Less-than-truckload (LTL) Freight Services,Insurance Corporation of British Columbia,New,vehicles
321,Bingo Consumables,British Columbia Lottery Corporation,New,supply of
325,Legal Services,District of Mission,New,legal services
327,Pavement Marking Services,District of Saanich,New,pavement
329,ITQ PHSA 19078 for Automated High Throughput Osmometers,Provincial Health Services Authority,New,supply of
333,Type III Ambulances,Provincial Health Services Authority,New,supply of
336,Radiation Therapy and Simulation Quality Assurance Devices,Provincial Health Services Authority,New,software
339,Basic Wheelchair Services for Long Term Care,Provincial Health Services Authority,New,supply of
346,Drone Photography Services,City of Victoria,New,photography
