Region,Initiator,Company,BuyerCanonicalOrgId,EngagementId,Activities,ProposalsSubmittedCad,ProposalsAcceptedCad,Status
Vancouver/LowerMainland,Omar,Areva Living,,,1,200000.00,200000.00,DryRun
Vancouver/LowerMainland,Omar,Concord Pacifid,,,1,,,DryRun
Vancouver/LowerMainland,Omar,RBI group,,,1,530000.00,300000.00,DryRun
Vancouver/LowerMainland,Omar,Grosvenor,,,1,,,DryRun
Vancouver/LowerMainland,Omar,Shape properties,,,1,,,DryRun
Vancouver/LowerMainland,Conor,Enso Group,,,1,65000.00,,DryRun
Vancouver/LowerMainland,Omar,ForteLiving,,,1,,,DryRun
Vancouver/LowerMainland,Omar,Cadillac Fairview,,,1,,,DryRun
Vancouver/LowerMainland,Conor,Denciti Development,,,1,,,DryRun
Vancouver/LowerMainland,Jim,Pinnacle Development,,,1,,,DryRun
Vancouver/LowerMainland,Conor,Makola Development Services,,,1,,,DryRun
Vancouver/LowerMainland,Conor,Qualico/Streetside BC,,,1,,,DryRun
Vancouver/LowerMainland,Jim,PBRV Consulting,,,1,,,DryRun
Vancouver/LowerMainland,Conor,Purpose Driven,,,1,110000.00,110000.00,DryRun
Vancouver/LowerMainland,Omar,Fastmark,,,1,,,DryRun
Vancouver/LowerMainland,Omar,A&H steel,,,1,,,DryRun
Vancouver/LowerMainland,Omar,PCI Development,,,1,,,DryRun
Vancouver/LowerMainland,Omar,M'akola Development,,,1,,,DryRun
Vancouver/LowerMainland,Omar,CIty Spaces consulting,,,1,,,DryRun
Alberta,Islam,Probus Management,,,1,,,DryRun
Alberta,Islam,University of Alberta,,,1,,,DryRun
Alberta,Islam,Metafor Architecture,,,1,,,DryRun
Alberta,Islam,Turn Group,,,1,620000.00,,DryRun
Alberta,Omar,A&H Steel,,,2,,,DryRun
Alberta,Islam,GEC Architecture,,,2,160000.00,,DryRun
Alberta,Islam,Thurber,,,2,,,DryRun
Alberta,Conor,Cantiro Group,,,1,18000.00,,DryRun
Alberta,Omar,PCL,,,1,,,DryRun
Alberta,Omar,Make Projects,,,1,,,DryRun
Alberta,Omar,Ledcor,,,2,,,DryRun
Alberta,Conor,Duke Management,,,1,,,DryRun
Alberta,Jim,A&H Steel,,,1,,,DryRun
Alberta,Islam,JLL real estate,,,1,,,DryRun
Alberta,Islam,Ledcor,,,1,,,DryRun
Alberta,Islam,Duke Management,,,1,,,DryRun
Alberta,Islam,Make Projects,,,1,,,DryRun
Alberta,Jim,Duke Management,,,1,,,DryRun
Alberta,Jim,Make Projects,,,1,,,DryRun
Alberta,Islam,HSEA Architecture,,,1,,,DryRun
Alberta,Islam,L7 Architecture,,,1,,,DryRun
Alberta,Islam,Sahuri + Partners Architecture,,,1,,,DryRun
Alberta,Islam,Anu Developements,,,1,,,DryRun
Alberta,Islam,Dialog Design,,,1,,,DryRun
Alberta,Islam,Deveraux Group,,,1,,,DryRun
Alberta,Islam,PK Developments,,,1,,,DryRun
Alberta,Islam,S2 Architecture,,,1,,,DryRun
Alberta,Omar,RBI group,,,1,,,DryRun
Okanagan-BcInterior,Conor,Saba Construction,,,1,,,DryRun
Okanagan-BcInterior,Conor,Meiklejohn Architects,,,1,110000.00,,DryRun
Okanagan-BcInterior,Conor,Greenstone Developments,,,1,,,DryRun
Okanagan-BcInterior,Conor,Holar Developments,,,1,150000.00,,DryRun
Okanagan-BcInterior,Conor,Novation Architecture,,,1,40000.00,40000.00,DryRun
Okanagan-BcInterior,Conor,NewTown Architecture,,,1,,,DryRun
Okanagan-BcInterior,Conor,Denciti Developments,,,1,,,DryRun
Okanagan-BcInterior,Conor,Traine,,,1,125000.00,15000.00,DryRun
Okanagan-BcInterior,Conor,Ridge North America,,,1,,,DryRun
Okanagan-BcInterior,Conor,Lime Architecture,,,1,,,DryRun
Okanagan-BcInterior,Conor,Wilden,,,1,36000.00,36000.00,DryRun
Okanagan-BcInterior,Conor,Michael Green Architecture,,,1,,,DryRun
Okanagan-BcInterior,Omar,Mundi hotels,,,1,,,DryRun
Okanagan-BcInterior,Conor,Westrich Pacific,,,1,,,DryRun
Okanagan-BcInterior,Conor,Duke Management,,,1,,,DryRun
USA,Jim,JWDA Architects,,,2,952000.00,,DryRun
USA,Jim,DBRDS Design Studio,,,4,197200.00,,DryRun
USA,John,CDA Architects,,,3,743920.00,,DryRun
USA,Jim,H + W Mechanical,,,1,,,DryRun
USA,Jim,Kennedy Wilson,,,1,,,DryRun
USA,Jim,Kimley Horn,,,1,,,DryRun
USA,Jim,Bosa Development,,,4,129200.00,,DryRun
USA,Jim,City of San Diego,,,1,,,DryRun
